Title;Language;Genre;Runtime;IMDB Score
Bulbbul;Hindi;Horror;94;6.6
Crazy About Her;Spanish;Romantic comedy;102;6.6
Elisa & Marcela;Spanish;Romance;118;6.6
I'll Sleep When I'm Dead;English;Documentary;79;6.6
I'm Thinking of Ending Things;English;Psychological thriller;134;6.6
It Takes a Lunatic;English;Documentary;126;6.6
Milestone;Hindi;Drama;98;6.6
Recovery Boys;English;Documentary;89;6.6
ReMastered: Who Killed Jam Master Jay?;English;Documentary;58;6.6
Shawn Mendes: In Wonder;English;Documentary;83;6.6
Space Sweepers;Korean;Science fiction;136;6.6
The American Meme;English;Documentary;98;6.6
The Angel;English;Spy thriller;114;6.6
The Crimes That Bind;Spanish;Crime drama;99;6.6
The Red Sea Diving Resort;English;Spy thriller;130;6.6
What Would Sophia Loren Do?;English;Documentary;32;6.6
A Whisker Away;Japanese;Anime/Fantasy;104;6.7
Ajeeb Daastaans;Hindi;Drama;142;6.7
Arlo the Alligator Boy;English;Animated musical comedy;92;6.7
Bikram: Yogi, Guru, Predator;English;Documentary;86;6.7
Blame!;Japanese;Anime/Science fiction;106;6.7
Blue Miracle;English;Drama;95;6.7
CounterPunch ;English;Documentary;91;6.7
Crack: Cocaine, Corruption & Conspiracy;English;Documentary;89;6.7
Extraction;English;Action;117;6.7
Giving Voice;English;Documentary;90;6.7
Hillbilly Elegy;English;Drama;117;6.7
Hope Frozen: A Quest to Live Twice;Thia/English;Documentary;80;6.7
Imperial Dreams;English;Drama;87;6.7
Just Another Christmas;Portuguese;Comedy;101;6.7
Little Miss Sumo;Japanese;Documentary;19;6.7
Malcolm & Marie;English;Romantic drama;106;6.7
Michael Bolton's Big, Sexy, Valentine's Day Special;English;Variety Show;54;6.7
Moxie;English;Drama;111;6.7
Night in Paradise;Korean;Drama;132;6.7
Paper Lives;Turkish;Drama;97;6.7
Parchis: The Documentary;Spanish;Documentary;106;6.7
Tallulah;English;Comedy-drama;111;6.7
The Old Guard;English;Superhero/Action;124;6.7
Tony Robbins: I Am Not Your Guru;English;Documentary;116;6.7
Upstarts;Hindi;Drama;112;6.7
22 July;English;Drama;144;6.8
7 años;Spanish;Drama;76;6.8
A Futile and Stupid Gesture;English;Biographical/Comedy;101;6.8
A Life of Speed: The Juan Manuel Fangio Story;Spanish;Documentary;92;6.8
A Love Song for Latasha;English;Documentary;19;6.8
All in My Family;English/Mandarin;Documentary;39;6.8
Always Be My Maybe;English;Romantic comedy;102;6.8
Becoming;English;Documentary;89;6.8
Long Live Brij Mohan;Hindi;Comedy;105;6.8
Calibre;English;Thriller;101;6.8
Death to 2020;English;Comedy;70;6.8
GIMS: On the Record;French;Documentary;96;6.8
Have a Good Trip: Adventures in Psychedelics;English;Documentary;85;6.8
Heroin(e) ;English;Documentary;39;6.8
Mercury 13;English;Documentary;79;6.8
Saving Capitalism;English;Documentary;73;6.8
Serious Men;Hindi;Drama;114;6.8
The Boys in the Band;English;Drama;121;6.8
The Boys in the Band: Something Personal;English;Aftershow / Interview;28;6.8
The Life Ahead;Italian;Drama;95;6.8
The Other Side of the Wind;English;Drama;122;6.8
The Trader;Georgian;Documentary;23;6.8
To the Bone;English;Drama;107;6.8
Tony Parker: The Final Shot;French;Documentary;98;6.8
AK vs AK;Hindi;Thriller;108;6.9
